yearID,sourceTypeID,sourceTypePopulation
2022,11,2175
2022,21,19290
2022,31,35656
2022,32,2944
2022,41,30
2022,42,48
2022,43,229
2022,51,45
2022,52,1649
2022,53,72
2022,54,269
2022,61,63
2022,62,88
