sourceTypeID,roadTypeID,hourDayID,avgSpeedBinID,avgSpeedFraction
11,5,195,12,0.0208841
11,5,195,13,0.010772
11,5,195,14,0.0044667
11,5,195,15,1.52274e-4
11,5,195,16,0.00222771
11,5,205,1,0.0568531
11,5,205,2,0.0988073
11,5,205,16,0.00161069
11,5,205,4,0.174079
11,5,205,15,0.00217998
11,5,205,6,0.0915522
11,5,205,7,0.0735431
11,5,205,8,0.055645
11,5,205,9,0.0446479
11,5,205,10,0.0385107
11,5,205,11,0.0317416
11,5,205,12,0.00708146
11,5,205,13,0.00461684
11,5,225,6,0.116909
11,5,205,3,0.171108
11,5,245,8,0.0544324
11,5,235,14,0.00189824
11,5,235,15,0.00179834
11,5,235,16,0.00487049
11,5,245,1,0.0709733
11,5,245,2,0.107301
11,5,245,3,0.126305
11,5,245,4,0.142494
11,5,245,5,0.126266
11,5,225,4,0.187365
11,5,245,7,0.106988
11,5,235,11,0.0334191
11,5,245,9,0.056935
11,5,245,10,0.0431705
11,5,245,11,0.0425058
11,5,245,12,0.0276463
11,5,245,13,0.0144293
11,5,245,14,3.91037e-4
11,5,245,15,3.91037e-4
11,5,245,16,0.0073124
11,5,42,1,0
11,5,245,6,0.0724592
11,5,235,2,0.0961611
11,5,225,7,0.0945526
11,5,225,8,0.072073
11,5,225,9,0.0467759
11,5,225,10,0.0256821
11,5,225,11,0.0236189
11,5,225,12,0.0128564
11,5,225,13,0.00471146
11,5,225,14,1.69366e-4
11,5,225,15,0.00204779
11,5,235,13,0.0016235
11,5,235,1,0.103479
11,5,235,12,0.00427105
11,5,235,3,0.11392
11,5,235,4,0.135575
11,5,235,5,0.116043
11,5,235,6,0.114769
11,5,235,7,0.0892924
11,5,235,8,0.0814497
11,5,235,9,0.0470065
11,5,235,10,0.0544247
11,5,195,8,0.059009
11,5,225,16,3.07939e-4
11,5,165,1,0.0913659
11,5,155,7,0.0716556
11,5,155,8,0.0658775
11,5,155,9,0.0492171
11,5,155,10,0.0238551
11,5,155,11,0.0210696
11,5,155,12,0.0124316
11,5,155,13,0.0129887
11,5,155,14,0.00206398
11,5,165,11,0.0148648
11,5,155,16,0.00315698
11,5,155,4,0.148872
11,5,165,2,0.1055
11,5,165,3,0.166972
11,5,165,4,0.172098
11,5,165,5,0.122921
11,5,165,6,0.109425
11,5,165,7,0.0783951
11,5,165,8,0.043919
11,5,165,9,0.0496696
11,5,195,10,0.0337202
11,5,155,15,3.34269e-4
11,5,145,11,0.0166178
11,5,135,14,0.00455341
