sourceTypeID,minModelYearID,maxModelYearID,monthID,dayID,idleRegionID,countyTypeID,totalIdleFraction
43,1950,2060,10,2,101,1,0.313752348
43,1950,2060,11,2,101,1,0.313752348
43,1950,2060,12,2,101,1,0.313752348
43,1950,2060,1,5,101,1,0.313752348
43,1950,2060,2,5,101,1,0.313752348
43,1950,2060,3,5,101,1,0.313752348
43,1950,2060,4,5,101,1,0.313752348
43,1950,2060,5,5,101,1,0.313752348
43,1950,2060,6,5,101,1,0.313752348
43,1950,2060,7,5,101,1,0.313752348
43,1950,2060,8,5,101,1,0.313752348
43,1950,2060,9,5,101,1,0.313752348
43,1950,2060,10,5,101,1,0.313752348
43,1950,2060,11,5,101,1,0.313752348
43,1950,2060,12,5,101,1,0.313752348
51,1950,2060,1,2,101,1,0.50252598
51,1950,2060,2,2,101,1,0.50252598
51,1950,2060,3,2,101,1,0.50252598
51,1950,2060,4,2,101,1,0.50252598
51,1950,2060,5,2,101,1,0.50252598
51,1950,2060,6,2,101,1,0.50252598
51,1950,2060,7,2,101,1,0.50252598
51,1950,2060,8,2,101,1,0.50252598
51,1950,2060,9,2,101,1,0.50252598
51,1950,2060,10,2,101,1,0.50252598
51,1950,2060,11,2,101,1,0.50252598
51,1950,2060,12,2,101,1,0.50252598
51,1950,2060,1,5,101,1,0.468866917
51,1950,2060,2,5,101,1,0.468866917
51,1950,2060,3,5,101,1,0.468866917
51,1950,2060,4,5,101,1,0.468866917
51,1950,2060,5,5,101,1,0.468866917
51,1950,2060,6,5,101,1,0.468866917
51,1950,2060,7,5,101,1,0.468866917
51,1950,2060,8,5,101,1,0.468866917
51,1950,2060,9,5,101,1,0.468866917
51,1950,2060,10,5,101,1,0.468866917
51,1950,2060,11,5,101,1,0.468866917
51,1950,2060,12,5,101,1,0.468866917
52,1950,2060,1,2,101,1,0.419798077
52,1950,2060,2,2,101,1,0.419798077
52,1950,2060,3,2,101,1,0.419798077
52,1950,2060,4,2,101,1,0.419798077
52,1950,2060,5,2,101,1,0.419798077
52,1950,2060,6,2,101,1,0.419798077
52,1950,2060,7,2,101,1,0.419798077
52,1950,2060,8,2,101,1,0.419798077
52,1950,2060,9,2,101,1,0.419798077
52,1950,2060,10,2,101,1,0.419798077
52,1950,2060,11,2,101,1,0.419798077
52,1950,2060,12,2,101,1,0.419798077
52,1950,2060,1,5,101,1,0.348238338
52,1950,2060,2,5,101,1,0.348238338
52,1950,2060,3,5,101,1,0.348238338
52,1950,2060,4,5,101,1,0.348238338
52,1950,2060,5,5,101,1,0.348238338
52,1950,2060,6,5,101,1,0.348238338
52,1950,2060,7,5,101,1,0.348238338
52,1950,2060,8,5,101,1,0.348238338
52,1950,2060,9,5,101,1,0.348238338
52,1950,2060,10,5,101,1,0.348238338
52,1950,2060,11,5,101,1,0.348238338
52,1950,2060,12,5,101,1,0.348238338
53,1950,2060,1,2,101,1,0.419798077
53,1950,2060,2,2,101,1,0.419798077
53,1950,2060,3,2,101,1,0.419798077
53,1950,2060,4,2,101,1,0.419798077
53,1950,2060,5,2,101,1,0.419798077
53,1950,2060,6,2,101,1,0.419798077
53,1950,2060,7,2,101,1,0.419798077
53,1950,2060,8,2,101,1,0.419798077
53,1950,2060,9,2,101,1,0.419798077
53,1950,2060,10,2,101,1,0.419798077
53,1950,2060,11,2,101,1,0.419798077
53,1950,2060,12,2,101,1,0.419798077
53,1950,2060,1,5,101,1,0.348238338
53,1950,2060,2,5,101,1,0.348238338
53,1950,2060,3,5,101,1,0.348238338
53,1950,2060,4,5,101,1,0.348238338
53,1950,2060,5,5,101,1,0.348238338
53,1950,2060,6,5,101,1,0.348238338
53,1950,2060,7,5,101,1,0.348238338
53,1950,2060,8,5,101,1,0.348238338
53,1950,2060,9,5,101,1,0.348238338
53,1950,2060,10,5,101,1,0.348238338
53,1950,2060,11,5,101,1,0.348238338
53,1950,2060,12,5,101,1,0.348238338
54,1950,2060,1,2,101,1,0
54,1950,2060,2,2,101,1,0
54,1950,2060,3,2,101,1,0
54,1950,2060,4,2,101,1,0
54,1950,2060,5,2,101,1,0
54,1950,2060,6,2,101,1,0
54,1950,2060,7,2,101,1,0
54,1950,2060,8,2,101,1,0
54,1950,2060,9,2,101,1,0
54,1950,2060,10,2,101,1,0
54,1950,2060,11,2,101,1,0
54,1950,2060,12,2,101,1,0
54,1950,2060,1,5,101,1,0
54,1950,2060,2,5,101,1,0
54,1950,2060,3,5,101,1,0
54,1950,2060,4,5,101,1,0
54,1950,2060,5,5,101,1,0
54,1950,2060,6,5,101,1,0
54,1950,2060,7,5,101,1,0
54,1950,2060,8,5,101,1,0
54,1950,2060,9,5,101,1,0
54,1950,2060,10,5,101,1,0
54,1950,2060,11,5,101,1,0
54,1950,2060,12,5,101,1,0
61,1950,2060,1,2,101,1,0.3122724
61,1950,2060,2,2,101,1,0.3122724
61,1950,2060,3,2,101,1,0.3122724
61,1950,2060,4,2,101,1,0.3122724
61,1950,2060,5,2,101,1,0.3122724
61,1950,2060,6,2,101,1,0.3122724
61,1950,2060,7,2,101,1,0.3122724
61,1950,2060,8,2,101,1,0.3122724
61,1950,2060,9,2,101,1,0.3122724
61,1950,2060,10,2,101,1,0.3122724
61,1950,2060,11,2,101,1,0.3122724
61,1950,2060,12,2,101,1,0.3122724
61,1950,2060,1,5,101,1,0.332108052
61,1950,2060,2,5,101,1,0.332108052
61,1950,2060,3,5,101,1,0.332108052
61,1950,2060,4,5,101,1,0.332108052
61,1950,2060,5,5,101,1,0.332108052
61,1950,2060,6,5,101,1,0.332108052
61,1950,2060,7,5,101,1,0.332108052
61,1950,2060,8,5,101,1,0.332108052
61,1950,2060,9,5,101,1,0.332108052
61,1950,2060,10,5,101,1,0.332108052
61,1950,2060,11,5,101,1,0.332108052
61,1950,2060,12,5,101,1,0.332108052
62,1950,2060,1,2,101,1,0.129963387
62,1950,2060,2,2,101,1,0.129963387
62,1950,2060,3,2,101,1,0.129963387
62,1950,2060,4,2,101,1,0.129963387
62,1950,2060,5,2,101,1,0.129963387
62,1950,2060,6,2,101,1,0.129963387
62,1950,2060,7,2,101,1,0.129963387
62,1950,2060,8,2,101,1,0.129963387
62,1950,2060,9,2,101,1,0.129963387
62,1950,2060,10,2,101,1,0.129963387
62,1950,2060,11,2,101,1,0.129963387
62,1950,2060,12,2,101,1,0.129963387
62,1950,2060,1,5,101,1,0.144750874
62,1950,2060,2,5,101,1,0.144750874
62,1950,2060,3,5,101,1,0.144750874
62,1950,2060,4,5,101,1,0.144750874
