year,geoid,pollutant,sourcetype,regclass,fueltype,roadtype,emissions,vmt,sourcehours,vehicles,starts,idlehours,hoteld,hotelb,hotelo,by
2022,36109,1,31,41,1,5,1.0620025396347046,2463160,114677,623.666015625,739870,NA,NA,NA,NA,1
2022,36109,1,31,41,2,1,0.5883838534355164,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,31,41,2,2,0,0,0,601.76397705078125,716869,NA,NA,NA,NA,1
2022,36109,1,31,41,2,3,0.7362645864486694,3304580,67806.1015625,601.76397705078125,716869,NA,NA,NA,NA,1
2022,36109,1,31,41,2,4,0.08894702792167664,451750,7626.02978515625,601.76397705078125,716869,NA,NA,NA,NA,1
2022,36109,1,31,41,2,5,0.9585119485855104,2386580,111112,601.76397705078125,716869,NA,NA,NA,NA,1
2022,36109,1,32,30,1,1,2.1191797256469727,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,32,30,1,2,0,0,0,2185.159912109375,3197860,NA,NA,NA,NA,1
2022,36109,1,32,30,1,3,0.6204435229301453,13969100,325463,2185.159912109375,3197860,NA,NA,NA,NA,1
2022,36109,1,32,30,1,4,0.07160915434360504,1909640,32484,2185.159912109375,3197860,NA,NA,NA,NA,1
2022,36109,1,32,30,1,5,0.6361823081970215,10088600,417243,2185.159912109375,3197860,NA,NA,NA,NA,1
2022,36109,1,32,30,2,1,0.07148823142051697,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,32,30,2,2,0,0,0,23.835399627685547,24870.69921875,NA,NA,NA,NA,1
2022,36109,1,32,30,2,3,0.06580965220928192,108642,2531.22998046875,23.835399627685547,24870.69921875,NA,NA,NA,NA,1
2022,36109,1,32,30,2,4,0.00729794381186366,14851.7998046875,252.63800048828125,23.835399627685547,24870.69921875,NA,NA,NA,NA,1
2022,36109,1,32,30,2,5,0.070497527718544,78462,3245.030029296875,23.835399627685547,24870.69921875,NA,NA,NA,NA,1
2022,36109,1,32,30,5,1,1.5386848826892674e-4,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,32,30,5,2,0,0,0,0.22839200496673584,347.3330078125,NA,NA,NA,NA,1
2022,36109,1,32,30,5,3,2.0524903447949328e-5,1517.25,35.34989929199219,0.22839200496673584,347.3330078125,NA,NA,NA,NA,1
2022,36109,1,32,30,5,4,2.526184516682406e-6,207.41400146484375,3.5282299518585205,0.22839200496673584,347.3330078125,NA,NA,NA,NA,1
2022,36109,1,32,30,5,5,1.957612948899623e-5,1095.760009765625,45.318599700927734,0.22839200496673584,347.3330078125,NA,NA,NA,NA,1
2022,36109,1,32,30,9,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,32,30,9,2,0,0,0,3.7639598846435542,6385.52001953125,NA,NA,NA,NA,1
2022,36109,1,32,30,9,3,0,27893.69921875,649.88897705078125,3.7639598846435542,6385.52001953125,NA,NA,NA,NA,1
2022,36109,1,32,30,9,4,0,3813.18994140625,64.8644027709961,3.7639598846435542,6385.52001953125,NA,NA,NA,NA,1
2022,36109,1,32,30,9,5,0,20145,833.156005859375,3.7639598846435542,6385.52001953125,NA,NA,NA,NA,1
2022,36109,1,32,41,1,1,1.085758924484253,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,32,41,1,2,0,0,0,592.37298583984375,834994,NA,NA,NA,NA,1
2022,36109,1,32,41,1,3,0.3615672290325165,3647490,84981.796875,592.37298583984375,834994,NA,NA,NA,NA,1
2022,36109,1,32,41,1,4,0.02935034595429897,498626,8481.900390625,592.37298583984375,834994,NA,NA,NA,NA,1
2022,36109,1,32,41,1,5,0.5112948417663574,2634230,108946,592.37298583984375,834994,NA,NA,NA,NA,1
2022,36109,1,32,41,2,1,0.13722074031829834,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,32,41,2,2,0,0,0,138.21099853515625,185338,NA,NA,NA,NA,1
2022,36109,1,32,41,2,3,0.12866830825805664,809606,18862.80078125,138.21099853515625,185338,NA,NA,NA,NA,1
2022,36109,1,32,41,2,4,0.01422077231109142,110677,1882.6700439453125,138.21099853515625,185338,NA,NA,NA,NA,1
2022,36109,1,32,41,2,5,0.140248104929924,584702,24182.099609375,138.21099853515625,185338,NA,NA,NA,NA,1
2022,36109,1,41,42,1,1,0.0610419437289238,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,41,42,1,2,0,0,0,11.094799995422363,24741.19921875,NA,NA,NA,NA,1
2022,36109,1,41,42,1,3,0.05597130209207535,227526,5301.06982421875,11.094799995422363,24741.19921875,NA,NA,NA,NA,1
2022,36109,1,41,42,1,4,0.0050381519831717,14260.2001953125,242.572998046875,11.094799995422363,24741.19921875,NA,NA,NA,NA,1
2022,36109,1,41,42,1,5,0.0494697168469429,153230,6337.27978515625,11.094799995422363,24741.19921875,NA,NA,NA,NA,1
2022,36109,1,41,42,2,1,0.00437101023271679,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,41,42,2,2,0,0,0,1.1499099731445313,1994.449951171875,NA,NA,NA,NA,1
2022,36109,1,41,42,2,3,0.00661479635164141,18341.5,427.3330078125,1.1499099731445313,1994.449951171875,NA,NA,NA,NA,1
2022,36109,1,41,42,2,4,3.3741630613803864e-4,1149.550048828125,19.554500579833984,1.1499099731445313,1994.449951171875,NA,NA,NA,NA,1
2022,36109,1,41,42,2,5,0.0067240921780467,12352.2001953125,510.864013671875,1.1499099731445313,1994.449951171875,NA,NA,NA,NA,1
2022,36109,1,41,46,1,1,8.128575427690521e-5,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,41,46,1,2,0,0,0,0.01442150026559829,25.912399291992188,NA,NA,NA,NA,1
2022,36109,1,41,46,1,3,8.715475269127637e-5,238.29600524902344,5.5520100593566895,0.01442150026559829,25.912399291992188,NA,NA,NA,NA,1
2022,36109,1,41,46,1,4,5.4285624173644464e-6,14.935199737548828,0.25405600666999817,0.01442150026559829,25.912399291992188,NA,NA,NA,NA,1
2022,36109,1,41,46,1,5,1.0218357056146488e-4,160.48300170898438,6.637249946594238,0.01442150026559829,25.912399291992188,NA,NA,NA,NA,1
2022,36109,1,41,46,2,1,0.00822879839688539,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,41,46,2,2,0,0,0,1.9008699655532837,3309.27001953125,NA,NA,NA,NA,1
2022,36109,1,41,46,2,3,0.01693601906299591,30432.80078125,709.0469970703125,1.9008699655532837,3309.27001953125,NA,NA,NA,NA,1
2022,36109,1,41,46,2,4,8.108217734843493e-4,1907.3699951171875,32.445499420166016,1.9008699655532837,3309.27001953125,NA,NA,NA,NA,1
2022,36109,1,41,46,2,5,0.01787532120943069,20495.30078125,847.64398193359375,1.9008699655532837,3309.27001953125,NA,NA,NA,NA,1
2022,36109,1,41,47,1,1,1.45896861795336e-4,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,41,47,1,2,0,0,0,0.02484910003840923,49.933101654052734,NA,NA,NA,NA,1
2022,36109,1,41,47,1,3,1.8080315203405917e-4,459.1950073242187,10.698699951171877,0.02484910003840923,49.933101654052734,NA,NA,NA,NA,1
2022,36109,1,41,47,1,4,1.4352343896462116e-5,28.780000686645508,0.4895650148391723,0.02484910003840923,49.933101654052734,NA,NA,NA,NA,1
2022,36109,1,41,47,1,5,1.6270775813609362e-4,309.2489929199219,12.789999961853027,0.02484910003840923,49.933101654052734,NA,NA,NA,NA,1
2022,36109,1,41,47,2,1,0.03563866391777992,NA,NA,NA,NA,NA,NA,NA,NA,1
