year,geoid,pollutant,sourcetype,regclass,fueltype,roadtype,emissions,vmt,sourcehours,vehicles,starts,by
2025,42091,1,41,42,2,4,0.08770263940095901,241526,4435.1298828125,30.603099822998047,47920.1015625,1
2025,42091,1,41,42,2,5,0.20877961814403534,354192,13974.400390625,30.603099822998047,47920.1015625,1
2025,42091,1,41,46,1,2,0,0,0,0.0938325971364975,141.7969970703125,1
2025,42091,1,41,46,1,3,2.5428027583984658e-5,23.23430061340332,0.5011060237884521,0.0938325971364975,141.7969970703125,1
2025,42091,1,41,46,1,4,7.199381943792105e-4,714.68402099609375,13.123700141906738,0.0938325971364975,141.7969970703125,1
2025,42091,1,41,46,1,5,0.001735542668029666,1048.0699462890625,41.35070037841797,0.0938325971364975,141.7969970703125,1
2025,42091,1,41,46,2,2,0,0,0,20.554800033569336,38065.5,1
2025,42091,1,41,46,2,3,0.0022045474033802748,6237.240234375,134.52200317382812,20.554800033569336,38065.5,1
2025,42091,1,41,46,2,4,0.060647398233413696,191857,3523.06005859375,20.554800033569336,38065.5,1
2025,42091,1,41,46,2,5,0.15400081872940063,281353,11100.599609375,20.554800033569336,38065.5,1
2025,42091,1,41,47,1,2,0,0,0,0.06783629953861237,124.50599670410156,1
2025,42091,1,41,47,1,3,3.088235098402947e-5,20.400999069213867,0.4399990141391754,0.06783629953861237,124.50599670410156,1
2025,42091,1,41,47,1,4,9.760645334608853e-4,627.53302001953125,11.523300170898438,0.06783629953861237,124.50599670410156,1
2025,42091,1,41,47,1,5,0.0016127529088407755,920.260986328125,36.30830001831055,0.06783629953861237,124.50599670410156,1
2025,42091,1,41,47,2,2,0,0,0,475.01800537109375,963573,1
2025,42091,1,41,47,2,3,0.028521861881017685,157887,3405.22998046875,475.01800537109375,963573,1
2025,42091,1,41,47,2,4,0.8160266876220703,4856590,89181.1015625,475.01800537109375,963573,1
2025,42091,1,41,47,2,5,1.866210699081421,7122070,280996,475.01800537109375,963573,1
2025,42091,1,41,47,3,2,0,0,0,43.21200180053711,84235.796875,1
2025,42091,1,41,47,3,3,0.1957434117794037,13802.5,297.6860046386719,43.21200180053711,84235.796875,1
2025,42091,1,41,47,3,4,4.98646354675293,424564,7796.240234375,43.21200180053711,84235.796875,1
2025,42091,1,41,47,3,5,16.481752395629883,622613,24564.69921875,43.21200180053711,84235.796875,1
2025,42091,1,42,42,1,2,0,0,0,30.548200607299805,64815.19921875,1
2025,42091,1,42,42,1,3,0.010527105070650578,9545.25,205.8679962158203,30.548200607299805,64815.19921875,1
2025,42091,1,42,42,1,4,0.4155724346637726,362736,6660.89990234375,30.548200607299805,64815.19921875,1
2025,42091,1,42,42,1,5,0.5292361378669739,440798,17391.400390625,30.548200607299805,64815.19921875,1
2025,42091,1,42,42,2,2,0,0,0,7.2339701652526855,12265,1
2025,42091,1,42,42,2,3,4.4298646389506757e-4,1806.25,38.95640182495117,7.2339701652526855,12265,1
2025,42091,1,42,42,2,4,0.01589413732290268,68640.6015625,1260.43994140625,7.2339701652526855,12265,1
2025,42091,1,42,42,2,5,0.02844196744263172,83412.5,3290.97998046875,7.2339701652526855,12265,1
2025,42091,1,42,46,1,2,0,0,0,0.021619999781250954,33.8916015625,1
2025,42091,1,42,46,1,3,4.72776855531265e-6,4.991159915924072,0.10764700174331665,0.021619999781250954,33.8916015625,1
2025,42091,1,42,46,1,4,1.693782687652856e-4,189.6719970703125,3.48294997215271,0.021619999781250954,33.8916015625,1
2025,42091,1,42,46,1,5,3.171459538862109e-4,230.49099731445312,9.093870162963867,0.021619999781250954,33.8916015625,1
2025,42091,1,42,46,2,2,0,0,0,5.75,11733.7998046875,1
2025,42091,1,42,46,2,3,3.0065979808568954e-4,1728.030029296875,37.2692985534668,5.75,11733.7998046875,1
2025,42091,1,42,46,2,4,0.010597212240099907,65668,1205.8599853515625,5.75,11733.7998046875,1
2025,42091,1,42,46,2,5,0.020328879356384277,79800.1015625,3148.4599609375,5.75,11733.7998046875,1
2025,42091,1,42,47,1,2,0,0,0,0.025485800579190254,48.24869918823242,1
2025,42091,1,42,47,1,3,1.0472055691934656e-5,7.105519771575928,0.15324899554252625,0.025485800579190254,48.24869918823242,1
2025,42091,1,42,47,1,4,4.0432115201838315e-4,270.02099609375,4.958399772644043,0.025485800579190254,48.24869918823242,1
2025,42091,1,42,47,1,5,5.556276882998645e-4,328.1319885253906,12.946200370788574,0.025485800579190254,48.24869918823242,1
2025,42091,1,42,48,2,2,0,0,0,154.93600463867188,335388,1
2025,42091,1,42,48,2,3,0.005734829232096672,49392.19921875,1065.27001953125,154.93600463867188,335388,1
2025,42091,1,42,48,2,4,0.2025967538356781,1876990,34467,154.93600463867188,335388,1
2025,42091,1,42,48,2,5,0.39594578742980957,2280920,89992.203125,154.93600463867188,335388,1
2025,42091,1,42,48,3,2,0,0,0,13.41189956665039,28356.099609375,1
2025,42091,1,42,48,3,3,0.060187678784132004,4175.97021484375,90.06520080566406,13.41189956665039,28356.099609375,1
2025,42091,1,42,48,3,4,1.9448916912078857,158694,2914.080078125,13.41189956665039,28356.099609375,1
2025,42091,1,42,48,3,5,5.156304836273193,192845,7608.580078125,13.41189956665039,28356.099609375,1
2025,42091,1,43,41,1,2,0,0,0,0.030612800270318985,19.342100143432617,1
2025,42091,1,43,41,1,3,4.37059907199e-6,2.304260015487671,0.04969720169901848,0.030612800270318985,19.342100143432617,1
2025,42091,1,43,41,1,4,9.353936911793426e-5,54.854400634765625,1.007290005683899,0.030612800270318985,19.342100143432617,1
2025,42091,1,43,41,1,5,2.3781327763572335e-4,82.40119934082031,3.251070022583008,0.030612800270318985,19.342100143432617,1
2025,42091,1,43,41,2,2,0,0,0,0.51705002784729,341.28900146484375,1
2025,42091,1,43,41,2,3,4.0485774661647156e-5,40.65840148925781,0.8769019842147827,0.51705002784729,341.28900146484375,1
2025,42091,1,43,41,2,4,8.736916934140027e-4,967.89898681640625,17.773500442504883,0.51705002784729,341.28900146484375,1
2025,42091,1,43,41,2,5,0.0021587321534752846,1453.9599609375,57.36470031738281,0.51705002784729,341.28900146484375,1
2025,42091,1,43,42,1,2,0,0,0,6.731969833374023,7655.06982421875,1
2025,42091,1,43,42,1,3,7.195743964985013e-4,911.96197509765625,19.668800354003906,6.731969833374023,7655.06982421875,1
2025,42091,1,43,42,1,4,0.01673162914812565,21709.900390625,398.656005859375,6.731969833374023,7655.06982421875,1
2025,42091,1,43,42,1,5,0.032781049609184265,32612,1286.6800537109375,6.731969833374023,7655.06982421875,1
2025,42091,1,43,42,2,2,0,0,0,9.846659660339355,9751.669921875,1
2025,42091,1,43,42,2,3,2.880770480260253e-4,1161.72998046875,25.055700302124023,9.846659660339355,9751.669921875,1
2025,42091,1,43,42,2,4,0.006292873993515968,27655.80078125,507.84100341796875,9.846659660339355,9751.669921875,1
2025,42091,1,43,42,2,5,0.0150028420612216,41543.8984375,1639.0899658203125,9.846659660339355,9751.669921875,1
2025,42091,1,43,46,1,2,0,0,0,6.793789863586426,6416.02978515625,1
2025,42091,1,43,46,1,3,9.696601773612201e-4,764.35302734375,16.485200881958008,6.793789863586426,6416.02978515625,1
2025,42091,1,43,46,1,4,0.021552875638008118,18195.900390625,334.1300048828125,6.793789863586426,6416.02978515625,1
2025,42091,1,43,46,1,5,0.050478026270866394,27333.5,1078.4200439453125,6.793789863586426,6416.02978515625,1
2025,42091,1,43,46,2,2,0,0,0,777.08197021484375,932548,1
2025,42091,1,43,46,2,3,0.022781599313020706,111096,2396.070068359375,777.08197021484375,932548,1
2025,42091,1,43,46,2,4,0.49207833409309387,2644720,48564.69921875,777.08197021484375,932548,1
2025,42091,1,43,46,2,5,1.2466742992401123,3972830,156745,777.08197021484375,932548,1
2025,42091,1,43,47,1,2,0,0,0,0.13047699630260468,82.43920135498047,1
2025,42091,1,43,47,1,3,2.6609397536958568e-5,9.821149826049805,0.21181799471378326,0.13047699630260468,82.43920135498047,1
2025,42091,1,43,47,1,4,5.667158402502537e-4,233.79800415039062,4.293230056762695,0.13047699630260468,82.43920135498047,1
2025,42091,1,43,47,1,5,0.0015165091026574373,351.2080078125,13.856599807739258,0.13047699630260468,82.43920135498047,1
2025,42091,1,43,47,2,2,0,0,0,47.67570114135742,58093.3984375,1
2025,42091,1,43,47,2,3,0.001106452546082437,6920.77001953125,149.26400756835938,47.67570114135742,58093.3984375,1
2025,42091,1,43,47,2,4,0.02399827539920807,164753,3025.35009765625,47.67570114135742,58093.3984375,1
2025,42091,1,43,47,2,5,0.060039471834897995,247489,9764.490234375,47.67570114135742,58093.3984375,1
2025,42091,1,43,47,3,2,0,0,0,9.662480354309082,12680.5,1
2025,42091,1,43,47,3,3,0.02115548402070999,1510.6500244140625,32.58110046386719,9.662480354309082,12680.5,1
2025,42091,1,43,47,3,4,0.4226484000682831,35962.1015625,660.3699951171875,9.662480354309082,12680.5,1
2025,42091,1,43,47,3,5,1.4075920581817627,54021.3984375,2131.3798828125,9.662480354309082,12680.5,1
2025,42091,1,51,41,1,2,0,0,0,0.09757409989833832,3.237489938735962,1
2025,42091,1,51,41,1,3,4.14681744587142e-6,1.7748099565505981,0.03827819973230362,0.09757409989833832,3.237489938735962,1
2025,42091,1,51,41,1,4,1.0552260209806263e-4,52.52320098876953,0.9644820094108582,0.09757409989833832,3.237489938735962,1
2025,42091,1,51,41,1,5,2.0426532137207687e-4,59.67509841918945,2.3544399738311768,0.09757409989833832,3.237489938735962,1
2025,42091,1,51,42,1,2,0,0,0,0.8553850054740906,90.29319763183594,1
2025,42091,1,51,42,1,3,5.998160122544505e-5,49.49909973144531,1.0675699710845947,0.8553850054740906,90.29319763183594,1
2025,42091,1,51,42,1,4,0.0014983165310695767,1464.8699951171875,26.899200439453125,0.8553850054740906,90.29319763183594,1
2025,42091,1,51,42,1,5,0.0033311117440462112,1664.3299560546875,65.66480255126953,0.8553850054740906,90.29319763183594,1
2025,42091,1,51,42,2,2,0,0,0,0.47545599937438965,13.178400039672852,1
2025,42091,1,51,42,2,3,7.363723398157163e-6,7.224460124969482,0.1558140069246292,0.47545599937438965,13.178400039672852,1
2025,42091,1,51,42,2,4,1.9465360674075782e-4,213.7989959716797,3.9259800910949707,0.47545599937438965,13.178400039672852,1
2025,42091,1,51,42,2,5,3.8163713179528713e-4,242.91099548339844,9.583889961242676,0.47545599937438965,13.178400039672852,1
2025,42091,1,51,46,1,2,0,0,0,0.06898420304059982,20.80699920654297,1
2025,42091,1,51,46,1,3,1.6083084119600244e-5,11.406499862670898,0.24601000547409058,0.06898420304059982,20.80699920654297,1
2025,42091,1,51,46,1,4,4.78952017147094e-4,337.5610046386719,6.198609828948975,0.06898420304059982,20.80699920654297,1
2025,42091,1,51,46,1,5,6.652745651081204e-4,383.5249938964844,15.131699562072754,0.06898420304059982,20.80699920654297,1
2025,42091,1,51,46,2,2,0,0,0,19.608699798583984,9409.1796875,1
