MOVESRunID,iterationID,yearID,monthID,dayID,hourID,stateID,countyID,zoneID,linkID,pollutantID,processID,sourceTypeID,regClassID,fuelTypeID,fuelSubTypeID,modelYearID,roadTypeID,SCC,engTechID,sectorID,hpID,emissionQuant,emissionQuantMean,emissionQuantSigma
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,42,48,9,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,41,47,9,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,32,30,9,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,31,30,9,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,21,20,9,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,54,47,3,NA,NA,5,NA,NA,NA,NA,8.464592724521935e-7,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,53,47,3,NA,NA,5,NA,NA,NA,NA,4.641810301109217e-5,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,52,47,3,NA,NA,5,NA,NA,NA,NA,7.165541173890233e-4,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,43,47,3,NA,NA,5,NA,NA,NA,NA,1.3264111476019025e-4,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,42,48,3,NA,NA,5,NA,NA,NA,NA,0.008834054693579674,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,41,47,3,NA,NA,5,NA,NA,NA,NA,0.026145828887820244,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,62,47,2,NA,NA,5,NA,NA,NA,NA,2.48852276802063,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,62,46,2,NA,NA,5,NA,NA,NA,NA,0.0785311833024025,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,61,47,2,NA,NA,5,NA,NA,NA,NA,1.699752926826477,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,61,46,2,NA,NA,5,NA,NA,NA,NA,0.2662103772163391,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,54,47,2,NA,NA,5,NA,NA,NA,NA,0.003759256098419428,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,54,46,2,NA,NA,5,NA,NA,NA,NA,0.025367045775055885,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,54,42,2,NA,NA,5,NA,NA,NA,NA,0.003841223893687129,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,53,47,2,NA,NA,5,NA,NA,NA,NA,0.035717859864234924,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,53,46,2,NA,NA,5,NA,NA,NA,NA,0.03553212061524391,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,53,42,2,NA,NA,5,NA,NA,NA,NA,0.011461722664535046,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,53,41,2,NA,NA,5,NA,NA,NA,NA,0.02980109304189682,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,52,47,2,NA,NA,5,NA,NA,NA,NA,0.6171950697898865,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,52,46,2,NA,NA,5,NA,NA,NA,NA,0.5058671236038208,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,52,42,2,NA,NA,5,NA,NA,NA,NA,0.2311447411775589,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,52,41,2,NA,NA,5,NA,NA,NA,NA,0.3778877258300781,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,51,47,2,NA,NA,5,NA,NA,NA,NA,0.07965245842933655,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,51,46,2,NA,NA,5,NA,NA,NA,NA,0.014894319698214531,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,51,42,2,NA,NA,5,NA,NA,NA,NA,0.001393850427120924,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,43,47,2,NA,NA,5,NA,NA,NA,NA,0.006417755037546158,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,43,46,2,NA,NA,5,NA,NA,NA,NA,0.10236569494009018,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,43,42,2,NA,NA,5,NA,NA,NA,NA,6.575969746336341e-4,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,43,41,2,NA,NA,5,NA,NA,NA,NA,6.952177500352263e-4,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,42,48,2,NA,NA,5,NA,NA,NA,NA,0.08400978147983551,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,42,46,2,NA,NA,5,NA,NA,NA,NA,0.002575197257101536,NA,NA
1,1,2001,NA,NA,NA,36,36109,NA,NA,98,NA,42,42,2,NA,NA,5,NA,NA,NA,NA,0.00286269118078053,NA,NA
