polProcessID,stateID,countyID,yearID,sourceTypeID,fuelTypeID,IMProgramID,begModelYearID,endModelYearID,inspectFreq,testStandardsID,useIMyn,complianceFactor
202,42,42091,2025,32,1,15,1986,1995,1,25,Y,81.94560241699219
202,42,42091,2025,32,5,220,1996,2024,1,51,Y,78.68000030517578
202,42,42091,2025,32,5,215,1986,1995,1,25,Y,81.94560241699219
301,42,42091,2025,32,1,20,1996,2024,1,51,Y,78.68000030517578
301,42,42091,2025,32,1,15,1986,1995,1,25,Y,81.94560241699219
301,42,42091,2025,32,5,220,1996,2024,1,51,Y,78.68000030517578
301,42,42091,2025,32,5,215,1986,1995,1,25,Y,81.94560241699219
302,42,42091,2025,32,1,20,1996,2024,1,51,Y,78.68000030517578
302,42,42091,2025,32,1,15,1986,1995,1,25,Y,81.94560241699219
302,42,42091,2025,32,5,220,1996,2024,1,51,Y,78.68000030517578
302,42,42091,2025,32,5,215,1986,1995,1,25,Y,81.94560241699219
