monthID,zoneID,hourID,temperature,relHumidity,heatIndex,specificHumidity,molWaterFraction
7,420910,3,68.30000305175781,83.4000015258789,NA,NA,NA
6,420910,9,70.4000015258789,71.0999984741211,NA,NA,NA
12,420910,1,30,71.4000015258789,NA,NA,NA
11,420910,11,48.400001525878906,65.4000015258789,NA,NA,NA
10,420910,17,64.4000015258789,52.70000076293945,NA,NA,NA
7,420910,12,83.19999694824219,55.599998474121094,NA,NA,NA
12,420910,12,39.29999923706055,61,NA,NA,NA
1,420910,17,38.29999923706055,54.20000076293945,NA,NA,NA
2,420910,22,31.200000762939453,60.20000076293945,NA,NA,NA
1,420910,6,23.5,73.30000305175781,NA,NA,NA
3,420910,7,31.899999618530273,72.0999984741211,NA,NA,NA
2,420910,5,24.700000762939453,69.19999694824219,NA,NA,NA
1,420910,11,30.399999618530273,64.69999694824219,NA,NA,NA
8,420910,5,65.9000015258789,86.9000015258789,NA,NA,NA
5,420910,8,56.400001525878906,75,NA,NA,NA
3,420910,24,38.70000076293945,63.20000076293945,NA,NA,NA
10,420910,8,45.79999923706055,85.30000305175781,NA,NA,NA
8,420910,24,70,79.4000015258789,NA,NA,NA
6,420910,7,63.70000076293945,83.80000305175781,NA,NA,NA
5,420910,5,51.70000076293945,82.5,NA,NA,NA
4,420910,19,60.900001525878906,45.599998474121094,NA,NA,NA
11,420910,5,38.599998474121094,79.5999984741211,NA,NA,NA
10,420910,7,44.900001525878906,86,NA,NA,NA
9,420910,21,66.9000015258789,73.19999694824219,NA,NA,NA
7,420910,6,66.19999694824219,87.0999984741211,NA,NA,NA
6,420910,10,73.5,65.5999984741211,NA,NA,NA
5,420910,18,71.5999984741211,48.5,NA,NA,NA
12,420910,6,27.799999237060547,74.0999984741211,NA,NA,NA
11,420910,22,43.79999923706055,70.9000015258789,NA,NA,NA
10,420910,18,61.900001525878906,56.599998474121094,NA,NA,NA
7,420910,19,83.5999984741211,53.79999923706055,NA,NA,NA
12,420910,17,42.29999923706055,56.70000076293945,NA,NA,NA
1,420910,1,26.200000762939453,69.9000015258789,NA,NA,NA
8,420910,15,85.5,51.5,NA,NA,NA
4,420910,10,52.5,58.20000076293945,NA,NA,NA
3,420910,2,35.900001525878906,66,NA,NA,NA
2,420910,6,24.200000762939453,69.5,NA,NA,NA
9,420910,14,77.5999984741211,53.70000076293945,NA,NA,NA
8,420910,2,68.0999984741211,83.30000305175781,NA,NA,NA
5,420910,11,65.69999694824219,57.79999923706055,NA,NA,NA
4,420910,5,42.599998474121094,74.80000305175781,NA,NA,NA
3,420910,23,40,61.099998474121094,NA,NA,NA
