sourceTypeID,roadTypeID,roadTypeVMTFraction
21,1,0
21,2,0.08177000284194946
21,3,0.20459499955177307
21,4,0.2595439851284027
21,5,0.45409101247787476
31,1,0
31,2,0.0958222970366478
31,3,0.2652130126953125
31,4,0.2228659987449646
31,5,0.4160979986190796
32,1,0
32,2,0.0839971974492073
32,3,0.21751199662685394
32,4,0.2623850107192993
32,5,0.43610501289367676
51,1,0
51,2,0.1337440013885498
51,3,0.2816280126571655
51,4,0.2444089949131012
51,5,0.3402180075645447
52,1,0
52,2,0.13382700085639954
52,3,0.29056501388549805
52,4,0.2332639992237091
52,5,0.3423449993133545
53,1,0
53,2,0.1246270015835762
53,3,0.28846800327301025
53,4,0.22494499385356903
53,5,0.3619599938392639
54,1,0
54,2,0.14617300033569336
54,3,0.29727599024772644
54,4,0.21183599531650543
54,5,0.3447149991989136
43,1,0
43,2,0.13362200558185577
43,3,0.290446013212204
43,4,0.20276199281215668
43,5,0.37316998839378357
42,1,0
42,2,0.12217699736356735
42,3,0.23262299597263336
42,4,0.25923699140548706
42,5,0.38596299290657043
41,1,0
41,2,0.1318189948797226
41,3,0.2464510053396225
41,4,0.22230899333953857
41,5,0.39942100644111633
61,1,0
61,2,0.1722240000963211
61,3,0.32784900069236755
61,4,0.24477200210094452
61,5,0.2551549971103668
62,1,0
62,2,0.3381739854812622
62,3,0.24070900678634644
62,4,0.2566849887371063
62,5,0.16443200409412384
11,1,0
11,2,0.08256310224533081
11,3,0.26731300354003906
11,4,0.198403000831604
11,5,0.4517210125923157
