HPMSVtypeID,yearID,VMTGrowthFactor,HPMSBaseYearVMT
10,2025,0,52245831.78568189
25,2025,0,7348222907.2200985
40,2025,0,42538236.53097369
50,2025,0,334542255.3973273
60,2025,0,495004128.7212424
