MOVESScenarioID,MOVESRunID,yearID,monthID,dayID,hourID,zoneID,sourceTypeID,regClassID,SCC,fuelTypeID,modelYearID,pollutantID,processID,temperature,relHumidity,ratePerStart
moves_anywhere,1,2025,0,0,0,361090,11,10,,1,0,1,2,50.64447784423828,66.76747131347656,9.589401770426775e-7
moves_anywhere,1,2025,0,0,0,361090,21,20,,1,0,1,2,50.64447784423828,66.76747131347656,6.253511060094752e-7
moves_anywhere,1,2025,0,0,0,361090,31,30,,1,0,1,2,50.64447784423828,66.76747131347656,6.116239887887787e-7
moves_anywhere,1,2025,0,0,0,361090,31,41,,1,0,1,2,50.64447784423828,66.76747131347656,2.1713767637265846e-6
moves_anywhere,1,2025,0,0,0,361090,32,30,,1,0,1,2,50.64447784423828,66.76747131347656,5.53402117020596e-7
moves_anywhere,1,2025,0,0,0,361090,32,41,,1,0,1,2,50.64447784423828,66.76747131347656,1.3117282833263744e-6
moves_anywhere,1,2025,0,0,0,361090,41,42,,1,0,1,2,50.64447784423828,66.76747131347656,2.0507177396211773e-6
moves_anywhere,1,2025,0,0,0,361090,41,46,,1,0,1,2,50.64447784423828,66.76747131347656,2.8860051770607242e-6
moves_anywhere,1,2025,0,0,0,361090,41,47,,1,0,1,2,50.64447784423828,66.76747131347656,2.4101263988995925e-6
moves_anywhere,1,2025,0,0,0,361090,42,42,,1,0,1,2,50.64447784423828,66.76747131347656,2.0526247226371197e-6
moves_anywhere,1,2025,0,0,0,361090,42,46,,1,0,1,2,50.64447784423828,66.76747131347656,2.649349880812224e-6
moves_anywhere,1,2025,0,0,0,361090,42,47,,1,0,1,2,50.64447784423828,66.76747131347656,2.4268483684863895e-6
moves_anywhere,1,2025,0,0,0,361090,43,41,,1,0,1,2,50.64447784423828,66.76747131347656,2.7122257506562164e-6
moves_anywhere,1,2025,0,0,0,361090,43,42,,1,0,1,2,50.64447784423828,66.76747131347656,1.466834532948269e-6
moves_anywhere,1,2025,0,0,0,361090,43,46,,1,0,1,2,50.64447784423828,66.76747131347656,1.4497267102342448e-6
moves_anywhere,1,2025,0,0,0,361090,43,47,,1,0,1,2,50.64447784423828,66.76747131347656,4.422681740834378e-6
moves_anywhere,1,2025,0,0,0,361090,51,41,,1,0,1,2,50.64447784423828,66.76747131347656,5.481605967361247e-6
moves_anywhere,1,2025,0,0,0,361090,51,42,,1,0,1,2,50.64447784423828,66.76747131347656,8.935411642596591e-6
moves_anywhere,1,2025,0,0,0,361090,51,46,,1,0,1,2,50.64447784423828,66.76747131347656,3.3393966987205204e-6
moves_anywhere,1,2025,0,0,0,361090,51,47,,1,0,1,2,50.64447784423828,66.76747131347656,3.1546273930871394e-6
moves_anywhere,1,2025,0,0,0,361090,52,41,,1,0,1,2,50.64447784423828,66.76747131347656,1.836681917666283e-7
moves_anywhere,1,2025,0,0,0,361090,52,42,,1,0,1,2,50.64447784423828,66.76747131347656,7.869873570598429e-7
