MOVESScenarioID,MOVESRunID,yearID,monthID,dayID,hourID,linkID,pollutantID,processID,sourceTypeID,regClassID,SCC,fuelTypeID,modelYearID,roadTypeID,temperature,relHumidity,ratePerHour
moves_anywhere,1,2025,0,0,0,361090100,1,90,62,46,,2,0,1,50.64447784423828,66.76747131347656,2.129477934431634e-6
moves_anywhere,1,2025,0,0,0,361090100,1,90,62,47,,2,0,1,50.64447784423828,66.76747131347656,3.5322570965945488e-6
moves_anywhere,1,2025,0,0,0,361090100,1,90,62,49,,2,0,1,50.64447784423828,66.76747131347656,2.821916677930858e-5
moves_anywhere,1,2025,0,0,0,361090100,1,90,62,47,,3,0,1,50.64447784423828,66.76747131347656,2.0855727780144662e-4
moves_anywhere,1,2025,0,0,0,361090100,2,90,62,46,,2,0,1,50.64447784423828,66.76747131347656,4.347780122770928e-5
moves_anywhere,1,2025,0,0,0,361090100,2,90,62,47,,2,0,1,50.64447784423828,66.76747131347656,4.412915222928859e-5
moves_anywhere,1,2025,0,0,0,361090100,2,90,62,49,,2,0,1,50.64447784423828,66.76747131347656,6.0627116909017786e-5
moves_anywhere,1,2025,0,0,0,361090100,2,90,62,47,,3,0,1,50.64447784423828,66.76747131347656,9.975916327675804e-5
moves_anywhere,1,2025,0,0,0,361090100,3,90,62,46,,2,0,1,50.64447784423828,66.76747131347656,5.263855564408004e-5
moves_anywhere,1,2025,0,0,0,361090100,3,90,62,47,,2,0,1,50.64447784423828,66.76747131347656,6.004289389238693e-5
moves_anywhere,1,2025,0,0,0,361090100,3,90,62,49,,2,0,1,50.64447784423828,66.76747131347656,1.636116357985884e-4
moves_anywhere,1,2025,0,0,0,361090100,3,90,62,47,,3,0,1,50.64447784423828,66.76747131347656,2.32906240853481e-5
moves_anywhere,1,2025,0,0,0,361090100,5,90,62,46,,2,0,1,50.64447784423828,66.76747131347656,6.770704317204945e-7
moves_anywhere,1,2025,0,0,0,361090100,5,90,62,47,,2,0,1,50.64447784423828,66.76747131347656,8.604002346146444e-7
moves_anywhere,1,2025,0,0,0,361090100,5,90,62,49,,2,0,1,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090100,5,90,62,47,,3,0,1,50.64447784423828,66.76747131347656,2.000066451728344e-4
moves_anywhere,1,2025,0,0,0,361090100,31,90,62,46,,2,0,1,50.64447784423828,66.76747131347656,2.6645176731676656e-8
moves_anywhere,1,2025,0,0,0,361090100,31,90,62,47,,2,0,1,50.64447784423828,66.76747131347656,2.702801005227684e-8
moves_anywhere,1,2025,0,0,0,361090100,31,90,62,49,,2,0,1,50.64447784423828,66.76747131347656,3.335880549570902e-8
moves_anywhere,1,2025,0,0,0,361090100,31,90,62,47,,3,0,1,50.64447784423828,66.76747131347656,7.734201545872565e-8
moves_anywhere,1,2025,0,0,0,361090100,79,90,62,46,,2,0,1,50.64447784423828,66.76747131347656,1.4524052858178038e-6
moves_anywhere,1,2025,0,0,0,361090100,79,90,62,47,,2,0,1,50.64447784423828,66.76747131347656,2.671848051249981e-6
