year,geoid,pollutant,sourcetype,regclass,fueltype,roadtype,emissions,vmt,sourcehours,vehicles,starts,by
2020,36109,1,11,10,1,2,0,0,0,1815.510009765625,100316,1
2020,36109,1,11,10,1,3,2.2767488956451416,2351270,48702.1015625,1815.510009765625,100316,1
2020,36109,1,11,10,1,4,0.18259698152542114,192098,3504.89990234375,1815.510009765625,100316,1
2020,36109,1,11,10,1,5,1.8209751844406128,1501380,58043.30078125,1815.510009765625,100316,1
2020,36109,1,21,20,1,2,0,0,0,22359.19921875,29871300,1
2020,36109,1,21,20,1,3,7.737861156463623,109003000,2272710,22359.19921875,29871300,1
2020,36109,1,21,20,1,4,1.0206046104431152,15221100,280609,22359.19921875,29871300,1
2020,36109,1,21,20,1,5,8.875313758850098,91416304,3551900,22359.19921875,29871300,1
2020,36109,1,21,20,2,2,0,0,0,122.4749984741211,170792,1
2020,36109,1,21,20,2,3,0.0312781035900116,612061,12761.5,122.4749984741211,170792,1
2020,36109,1,21,20,2,4,0.004134305287152529,85468,1575.6500244140625,122.4749984741211,170792,1
2020,36109,1,21,20,2,5,0.035520657896995544,513312,19944.30078125,122.4749984741211,170792,1
2020,36109,1,21,20,5,2,0,0,0,12.25979995727539,17590.19921875,1
2020,36109,1,21,20,5,3,0.0023117505479604006,63217.69921875,1318.0899658203125,12.25979995727539,17590.19921875,1
2020,36109,1,21,20,5,4,3.139371401630342e-4,8827.7001953125,162.74400329589844,12.25979995727539,17590.19921875,1
2020,36109,1,21,20,5,5,0.002464227844029665,53018.30078125,2059.97998046875,12.25979995727539,17590.19921875,1
2020,36109,1,21,20,9,2,0,0,0,156.25,264248,1
2020,36109,1,21,20,9,3,0,954797,19907.599609375,156.25,264248,1
2020,36109,1,21,20,9,4,0,133328,2457.969970703125,156.25,264248,1
2020,36109,1,21,20,9,5,0,800751,31112.5,156.25,264248,1
2020,36109,1,31,30,1,2,0,0,0,26159.599609375,33727800,1
2020,36109,1,31,30,1,3,14.39853286743164,161220992,3306330,26159.599609375,33727800,1
2020,36109,1,31,30,1,4,1.2879647016525269,14913000,270762,26159.599609375,33727800,1
2020,36109,1,31,30,1,5,10.999545097351074,95578800,3663510,26159.599609375,33727800,1
2020,36109,1,31,30,2,2,0,0,0,120.96700286865234,147076,1
2020,36109,1,31,30,2,3,0.19381211698055267,686273,14074.099609375,120.96700286865234,147076,1
2020,36109,1,31,30,2,4,0.0165418591350317,63480.30078125,1152.56005859375,120.96700286865234,147076,1
2020,36109,1,31,30,2,5,0.1653681844472885,406852,15594.5,120.96700286865234,147076,1
2020,36109,1,31,30,5,2,0,0,0,53.92210006713867,73765.796875,1
2020,36109,1,31,30,5,3,0.01689424179494381,347841,7133.52978515625,53.92210006713867,73765.796875,1
2020,36109,1,31,30,5,4,0.0015503412578254938,32175.30078125,584.17999267578125,53.92210006713867,73765.796875,1
2020,36109,1,31,30,5,5,0.0121706398203969,206215,7904.16015625,53.92210006713867,73765.796875,1
2020,36109,1,31,30,9,2,0,0,0,16.91830062866211,27743,1
2020,36109,1,31,30,9,3,0,129361,2652.929931640625,16.91830062866211,27743,1
2020,36109,1,31,30,9,4,0,11965.900390625,217.25399780273438,16.91830062866211,27743,1
2020,36109,1,31,30,9,5,0,76690.5,2939.52001953125,16.91830062866211,27743,1
2020,36109,1,31,41,1,2,0,0,0,683.58502197265625,712312,1
2020,36109,1,31,41,1,3,1.2274885177612305,3505400,71888.8984375,683.58502197265625,712312,1
2020,36109,1,31,41,1,4,0.09905313700437546,324250,5887.1298828125,683.58502197265625,712312,1
2020,36109,1,31,41,1,5,1.2923496961593628,2078150,79655,683.58502197265625,712312,1
2020,36109,1,31,41,2,2,0,0,0,675,827963,1
2020,36109,1,31,41,2,3,1.1257983446121216,4012510,82288.703125,675,827963,1
2020,36109,1,31,41,2,4,0.09615921229124069,371157,6738.7900390625,675,827963,1
2020,36109,1,31,41,2,5,1.0164003372192383,2378790,91178.203125,675,827963,1
2020,36109,1,32,30,1,2,0,0,0,2253.010009765625,3388370,1
2020,36109,1,32,30,1,3,0.8907743692398071,13267900,286155,2253.010009765625,3388370,1
2020,36109,1,32,30,1,4,0.10985369235277176,1761770,32351.30078125,2253.010009765625,3388370,1
2020,36109,1,32,30,1,5,0.8745957612991333,10051900,396590,2253.010009765625,3388370,1
2020,36109,1,32,30,2,2,0,0,0,15.814900398254395,19893.099609375,1
2020,36109,1,32,30,2,3,0.02511029690504074,77212.5,1665.280029296875,15.814900398254395,19893.099609375,1
2020,36109,1,32,30,2,4,0.0029741909820586443,10252.7001953125,188.2689971923828,15.814900398254395,19893.099609375,1
2020,36109,1,32,30,2,5,0.026904961094260216,58497.1015625,2307.9599609375,15.814900398254395,19893.099609375,1
2020,36109,1,32,30,5,2,0,0,0,9.1870698928833,14673,1
2020,36109,1,32,30,5,3,0.001955755753442645,56902.5,1227.239990234375,9.1870698928833,14673,1
2020,36109,1,32,30,5,4,2.46889831032604e-4,7555.77978515625,138.74600219726562,9.1870698928833,14673,1
2020,36109,1,32,30,5,5,0.0018258970230817795,43109.8984375,1700.8699951171875,9.1870698928833,14673,1
2020,36109,1,32,30,9,2,0,0,0,2.4908900260925293,4360.06005859375,1
2020,36109,1,32,30,9,3,0,16855.599609375,363.5329895019531,2.4908900260925293,4360.06005859375,1
2020,36109,1,32,30,9,4,0,2238.169921875,41.099300384521484,2.4908900260925293,4360.06005859375,1
2020,36109,1,32,30,9,5,0,12770,503.8299865722656,2.4908900260925293,4360.06005859375,1
