YearID,sourceTypeID,salesGrowthFactor,sourceTypePopulation,migrationrate,FIP
2022,11,0,5190,0,36085
2022,21,0,95585,0,36085
2022,31,0,167894,0,36085
2022,32,0,6453,0,36085
2022,41,0,123,0,36085
2022,42,0,836,0,36085
2022,43,0,1112,0,36085
2022,51,0,127,0,36085
2022,52,0,2362,0,36085
2022,53,0,110,0,36085
2022,54,0,341,0,36085
2022,61,0,118,0,36085
2022,62,0,161,0,36085
