yearID,sourceTypeID,sourceTypePopulation
2022,11,5190
2022,21,95585
2022,31,167894
2022,32,6453
2022,41,123
2022,42,836
2022,43,1112
2022,51,127
2022,52,2362
2022,53,110
2022,54,341
2022,61,118
2022,62,161
