yearID,sourceTypeID,VMT
2022,11,8590384
2022,21,573716440
2022,31,1213072141
2022,32,48342893
2022,41,3324003
2022,42,25132163
2022,43,10956547
2022,51,5288243
2022,52,60335317
2022,53,5313908
2022,54,1685334
2022,61,7473752
2022,62,24126719
