sourceTypeID,monthID,roadTypeID,dayID,dayVMTFraction,FIP
11,9,2,5,0.72118,36085
11,9,3,2,0.27882,36085
11,9,3,5,0.72118,36085
11,9,4,2,0.237635,36085
11,9,4,5,0.762365,36085
11,9,5,2,0.237635,36085
11,9,5,5,0.762365,36085
11,10,1,2,0.237635,36085
11,10,1,5,0.762365,36085
11,10,2,2,0.27882,36085
11,10,2,5,0.72118,36085
11,10,3,2,0.27882,36085
11,10,3,5,0.72118,36085
11,10,4,2,0.237635,36085
11,10,4,5,0.762365,36085
11,10,5,2,0.237635,36085
11,10,5,5,0.762365,36085
11,11,1,2,0.237635,36085
11,11,1,5,0.762365,36085
11,11,2,2,0.27882,36085
11,11,2,5,0.72118,36085
11,11,3,2,0.27882,36085
11,11,3,5,0.72118,36085
11,11,4,2,0.237635,36085
11,11,4,5,0.762365,36085
11,11,5,2,0.237635,36085
11,11,5,5,0.762365,36085
11,12,1,2,0.237635,36085
11,12,1,5,0.762365,36085
11,12,2,2,0.27882,36085
11,12,2,5,0.72118,36085
11,12,3,2,0.27882,36085
11,12,3,5,0.72118,36085
11,12,4,2,0.237635,36085
11,12,4,5,0.762365,36085
11,12,5,2,0.237635,36085
11,12,5,5,0.762365,36085
21,1,1,2,0.237635,36085
21,1,1,5,0.762365,36085
21,1,2,2,0.27882,36085
21,1,2,5,0.72118,36085
21,1,3,2,0.27882,36085
21,1,3,5,0.72118,36085
21,1,4,2,0.237635,36085
21,1,4,5,0.762365,36085
21,1,5,2,0.237635,36085
21,1,5,5,0.762365,36085
21,2,1,2,0.237635,36085
21,2,1,5,0.762365,36085
21,2,2,2,0.27882,36085
21,2,2,5,0.72118,36085
21,2,3,2,0.27882,36085
21,2,3,5,0.72118,36085
21,2,4,2,0.237635,36085
21,2,4,5,0.762365,36085
21,2,5,2,0.237635,36085
21,2,5,5,0.762365,36085
21,3,1,2,0.237635,36085
21,3,1,5,0.762365,36085
21,3,2,2,0.27882,36085
21,3,2,5,0.72118,36085
21,3,3,2,0.27882,36085
21,3,3,5,0.72118,36085
21,3,4,2,0.237635,36085
21,3,4,5,0.762365,36085
21,3,5,2,0.237635,36085
21,3,5,5,0.762365,36085
21,4,1,2,0.237635,36085
21,4,1,5,0.762365,36085
21,4,2,2,0.27882,36085
21,4,2,5,0.72118,36085
21,4,3,2,0.27882,36085
21,4,3,5,0.72118,36085
21,4,4,2,0.237635,36085
21,4,4,5,0.762365,36085
21,4,5,2,0.237635,36085
21,4,5,5,0.762365,36085
21,5,1,2,0.237635,36085
21,5,1,5,0.762365,36085
21,5,2,2,0.27882,36085
21,5,2,5,0.72118,36085
21,5,3,2,0.27882,36085
21,5,3,5,0.72118,36085
21,5,4,2,0.237635,36085
21,5,4,5,0.762365,36085
21,5,5,2,0.237635,36085
21,5,5,5,0.762365,36085
21,6,1,2,0.237635,36085
21,6,1,5,0.762365,36085
21,6,2,2,0.27882,36085
21,6,2,5,0.72118,36085
21,6,3,2,0.27882,36085
21,6,3,5,0.72118,36085
21,6,4,2,0.237635,36085
21,6,4,5,0.762365,36085
21,6,5,2,0.237635,36085
21,6,5,5,0.762365,36085
21,7,1,2,0.237635,36085
21,7,1,5,0.762365,36085
21,7,2,2,0.27882,36085
21,7,2,5,0.72118,36085
21,7,3,2,0.27882,36085
21,7,3,5,0.72118,36085
21,7,4,2,0.237635,36085
21,7,4,5,0.762365,36085
21,7,5,2,0.237635,36085
21,7,5,5,0.762365,36085
21,8,1,2,0.237635,36085
21,8,1,5,0.762365,36085
21,8,2,2,0.27882,36085
21,8,2,5,0.72118,36085
21,8,3,2,0.27882,36085
21,8,3,5,0.72118,36085
21,8,4,2,0.237635,36085
21,8,4,5,0.762365,36085
21,8,5,2,0.237635,36085
21,8,5,5,0.762365,36085
21,9,1,2,0.237635,36085
21,9,1,5,0.762365,36085
21,9,2,2,0.27882,36085
21,9,2,5,0.72118,36085
21,9,3,2,0.27882,36085
21,9,3,5,0.72118,36085
21,9,4,2,0.237635,36085
21,9,4,5,0.762365,36085
21,9,5,2,0.237635,36085
21,9,5,5,0.762365,36085
21,10,1,2,0.237635,36085
21,10,1,5,0.762365,36085
21,10,2,2,0.27882,36085
21,10,2,5,0.72118,36085
21,10,3,2,0.27882,36085
21,10,3,5,0.72118,36085
21,10,4,2,0.237635,36085
21,10,4,5,0.762365,36085
21,10,5,2,0.237635,36085
21,10,5,5,0.762365,36085
21,11,1,2,0.237635,36085
21,11,1,5,0.762365,36085
21,11,2,2,0.27882,36085
21,11,2,5,0.72118,36085
21,11,3,2,0.27882,36085
21,11,3,5,0.72118,36085
21,11,4,2,0.237635,36085
21,11,4,5,0.762365,36085
21,11,5,2,0.237635,36085
21,11,5,5,0.762365,36085
21,12,1,2,0.237635,36085
21,12,1,5,0.762365,36085
21,12,2,2,0.27882,36085
21,12,2,5,0.72118,36085
21,12,3,2,0.27882,36085
21,12,3,5,0.72118,36085
21,12,4,2,0.237635,36085
21,12,4,5,0.762365,36085
21,12,5,2,0.237635,36085
21,12,5,5,0.762365,36085
31,1,1,2,0.237635,36085
31,1,1,5,0.762365,36085
31,1,2,2,0.27882,36085
31,1,2,5,0.72118,36085
31,1,3,2,0.27882,36085
31,1,3,5,0.72118,36085
31,1,4,2,0.237635,36085
31,1,4,5,0.762365,36085
31,1,5,2,0.237635,36085
31,1,5,5,0.762365,36085
31,2,1,2,0.237635,36085
31,2,1,5,0.762365,36085
31,2,2,2,0.27882,36085
31,2,2,5,0.72118,36085
31,2,3,2,0.27882,36085
31,2,3,5,0.72118,36085
31,2,4,2,0.237635,36085
31,2,4,5,0.762365,36085
31,2,5,2,0.237635,36085
31,2,5,5,0.762365,36085
31,3,1,2,0.237635,36085
31,3,1,5,0.762365,36085
31,3,2,2,0.27882,36085
31,3,2,5,0.72118,36085
31,3,3,2,0.27882,36085
31,3,3,5,0.72118,36085
31,3,4,2,0.237635,36085
31,3,4,5,0.762365,36085
31,3,5,2,0.237635,36085
31,3,5,5,0.762365,36085
31,4,1,2,0.237635,36085
31,4,1,5,0.762365,36085
31,4,2,2,0.27882,36085
31,4,2,5,0.72118,36085
31,4,3,2,0.27882,36085
31,4,3,5,0.72118,36085
31,4,4,2,0.237635,36085
31,4,4,5,0.762365,36085
31,4,5,2,0.237635,36085
31,4,5,5,0.762365,36085
31,5,1,2,0.237635,36085
31,5,1,5,0.762365,36085
31,5,2,2,0.27882,36085
31,5,2,5,0.72118,36085
31,5,3,2,0.27882,36085
31,5,3,5,0.72118,36085
31,5,4,2,0.237635,36085
31,5,4,5,0.762365,36085
31,5,5,2,0.237635,36085
31,5,5,5,0.762365,36085
31,6,1,2,0.237635,36085
31,6,1,5,0.762365,36085
31,6,2,2,0.27882,36085
31,6,2,5,0.72118,36085
31,6,3,2,0.27882,36085
31,6,3,5,0.72118,36085
31,6,4,2,0.237635,36085
31,6,4,5,0.762365,36085
31,6,5,2,0.237635,36085
31,6,5,5,0.762365,36085
31,7,1,2,0.237635,36085
31,7,1,5,0.762365,36085
31,7,2,2,0.27882,36085
31,7,2,5,0.72118,36085
31,7,3,2,0.27882,36085
31,7,3,5,0.72118,36085
31,7,4,2,0.237635,36085
31,7,4,5,0.762365,36085
31,7,5,2,0.237635,36085
31,7,5,5,0.762365,36085
31,8,1,2,0.237635,36085
31,8,1,5,0.762365,36085
31,8,2,2,0.27882,36085
