yearID,sourcetypeID,VMT,FIP
2022,11,8590384,36085
2022,21,573716440,36085
2022,31,1213072141,36085
2022,32,48342893,36085
2022,41,3324003,36085
2022,42,25132163,36085
2022,43,10956547,36085
2022,51,5288243,36085
2022,52,60335317,36085
2022,53,5313908,36085
2022,54,1685334,36085
2022,61,7473752,36085
2022,62,24126719,36085
