MonthID,ZoneID,HourID,Temperature,relHumidity,FIP
1,360850,1,29,69,36085
1,360850,2,28,69,36085
1,360850,3,28,71,36085
1,360850,4,28,73,36085
1,360850,5,27,73,36085
1,360850,6,27,75,36085
1,360850,7,25,74,36085
1,360850,8,26,73,36085
1,360850,9,29,73,36085
1,360850,10,29,70,36085
1,360850,11,31,66,36085
1,360850,12,32,63,36085
1,360850,13,33,60,36085
1,360850,14,33,54,36085
1,360850,15,34,56,36085
1,360850,16,33,54,36085
1,360850,17,32,56,36085
1,360850,18,31,58,36085
1,360850,19,30,60,36085
1,360850,20,30,63,36085
1,360850,21,30,68,36085
1,360850,22,29,67,36085
1,360850,23,29,66,36085
1,360850,24,27,65,36085
2,360850,1,34,68,36085
2,360850,2,34,68,36085
2,360850,3,32,70,36085
2,360850,4,33,75,36085
2,360850,5,32,74,36085
2,360850,6,32,74,36085
2,360850,7,34,76,36085
2,360850,8,32,74,36085
2,360850,9,34,74,36085
2,360850,10,35,69,36085
2,360850,11,39,59,36085
2,360850,12,39,62,36085
2,360850,13,41,58,36085
2,360850,14,41,54,36085
2,360850,15,41,57,36085
2,360850,16,41,59,36085
2,360850,17,41,52,36085
2,360850,18,39,59,36085
2,360850,19,40,59,36085
2,360850,20,38,56,36085
2,360850,21,37,63,36085
2,360850,22,36,61,36085
2,360850,23,36,62,36085
2,360850,24,34,65,36085
3,360850,1,43,64,36085
3,360850,2,42,63,36085
3,360850,3,42,65,36085
3,360850,4,41,67,36085
3,360850,5,41,67,36085
3,360850,6,41,70,36085
3,360850,7,41,68,36085
3,360850,8,41,65,36085
3,360850,9,44,64,36085
3,360850,10,46,62,36085
3,360850,11,48,57,36085
3,360850,12,48,55,36085
3,360850,13,50,50,36085
3,360850,14,50,47,36085
3,360850,15,51,47,36085
3,360850,16,47,48,36085
3,360850,17,46,51,36085
3,360850,18,46,51,36085
3,360850,19,46,56,36085
3,360850,20,47,54,36085
3,360850,21,46,57,36085
3,360850,22,47,62,36085
3,360850,23,45,60,36085
3,360850,24,44,60,36085
4,360850,1,50,63,36085
4,360850,2,49,63,36085
4,360850,3,48,63,36085
4,360850,4,48,64,36085
4,360850,5,47,64,36085
4,360850,6,48,62,36085
4,360850,7,49,59,36085
4,360850,8,51,55,36085
4,360850,9,54,47,36085
4,360850,10,55,46,36085
4,360850,11,56,47,36085
4,360850,12,57,41,36085
4,360850,13,58,41,36085
4,360850,14,60,38,36085
4,360850,15,60,40,36085
4,360850,16,59,40,36085
4,360850,17,58,46,36085
4,360850,18,58,47,36085
4,360850,19,54,53,36085
4,360850,20,54,51,36085
4,360850,21,52,57,36085
4,360850,22,51,56,36085
4,360850,23,51,62,36085
4,360850,24,50,60,36085
5,360850,1,61,71,36085
5,360850,2,60,70,36085
5,360850,3,60,74,36085
5,360850,4,60,75,36085
5,360850,5,60,77,36085
5,360850,6,60,74,36085
5,360850,7,62,72,36085
5,360850,8,63,69,36085
5,360850,9,66,65,36085
5,360850,10,67,62,36085
5,360850,11,70,58,36085
5,360850,12,71,60,36085
5,360850,13,70,57,36085
5,360850,14,71,54,36085
5,360850,15,71,54,36085
5,360850,16,70,60,36085
5,360850,17,70,60,36085
5,360850,18,69,60,36085
5,360850,19,68,60,36085
5,360850,20,68,61,36085
5,360850,21,65,68,36085
5,360850,22,64,66,36085
5,360850,23,63,69,36085
5,360850,24,63,69,36085
6,360850,1,70,66,36085
6,360850,2,69,67,36085
6,360850,3,68,68,36085
6,360850,4,68,69,36085
6,360850,5,67,72,36085
6,360850,6,69,70,36085
6,360850,7,71,66,36085
6,360850,8,72,62,36085
6,360850,9,75,56,36085
6,360850,10,77,51,36085
6,360850,11,79,47,36085
6,360850,12,80,48,36085
6,360850,13,80,44,36085
