SourceTypeID,RoadTypeID,HourDayID,avgSpeedBinID,avgSpeedFraction,FIP
11,5,202,12,0.027808,36085
11,5,202,3,0.116516,36085
11,5,212,5,0.179467,36085
11,5,212,4,0.180606,36085
11,5,212,3,0.109909,36085
11,5,212,2,0.0769214,36085
11,5,212,1,0.0891678,36085
11,5,202,16,0.00474551,36085
11,5,202,15,0.00510519,36085
11,5,212,7,0.0483247,36085
11,5,202,13,0.0322724,36085
11,5,212,8,0.0276052,36085
11,5,202,11,0.0194179,36085
11,5,202,10,0.0184855,36085
11,5,202,9,0.0197784,36085
11,5,202,8,0.0257698,36085
11,5,202,7,0.0480497,36085
11,5,202,6,0.111926,36085
11,5,202,5,0.18758,36085
11,5,222,12,0.0402323,36085
11,5,202,14,0.0199558,36085
11,5,222,1,0.0896171,36085
11,5,172,9,0.0180615,36085
11,5,222,10,0.0209424,36085
11,5,222,9,0.0235994,36085
11,5,222,8,0.0318419,36085
11,5,222,7,0.0532957,36085
11,5,222,6,0.113976,36085
11,5,222,5,0.164315,36085
11,5,222,4,0.158742,36085
11,5,212,6,0.114776,36085
11,5,222,2,0.0801259,36085
11,5,202,2,0.090862299999999993,36085
11,5,212,16,0.00482813,36085
11,5,212,15,0.00514918,36085
11,5,212,14,0.0205344,36085
11,5,212,13,0.0414522,36085
11,5,212,12,0.0365495,36085
11,5,212,11,0.0247554,36085
11,5,212,10,0.0184589,36085
11,5,212,9,0.0214957,36085
11,5,222,3,0.112438,36085
11,5,182,2,0.0866975,36085
11,5,202,4,0.176661,36085
11,5,182,11,0.0210081,36085
11,5,182,10,0.0177281,36085
11,5,182,9,0.0158786,36085
11,5,182,8,0.0267033,36085
11,5,182,7,0.0458043,36085
11,5,182,6,0.0936915,36085
11,5,182,5,0.178492,36085
11,5,182,13,0.0358035,36085
11,5,182,3,0.126575,36085
11,5,182,14,0.0206182,36085
11,5,182,1,0.0901266,36085
11,5,172,16,0.00600104,36085
11,5,172,15,0.00818821,36085
11,5,172,14,0.0208775,36085
11,5,172,13,0.0280305,36085
11,5,172,12,0.0255358,36085
11,5,172,11,0.0165013,36085
11,5,35,16,0.0185179,36085
11,5,182,4,0.197637,36085
11,5,192,7,0.0442565,36085
11,5,202,1,0.0950658,36085
11,5,192,16,0.00486345,36085
11,5,192,15,0.00722243,36085
11,5,192,14,0.0195851,36085
11,5,192,13,0.0297186,36085
11,5,192,12,0.0310805,36085
11,5,192,11,0.0228106,36085
11,5,192,10,0.0194566,36085
11,5,182,12,0.0288239,36085
11,5,192,8,0.0249283,36085
11,5,222,13,0.049033,36085
11,5,192,6,0.100133,36085
11,5,192,5,0.182618,36085
11,5,192,4,0.191992,36085
11,5,192,3,0.130332,36085
11,5,192,2,0.0816113,36085
11,5,192,1,0.0910863,36085
11,5,182,16,0.00765168,36085
11,5,182,15,0.00676061,36085
11,5,192,9,0.0183055,36085
11,5,15,16,0.0194451,36085
11,5,15,7,0.0709844,36085
11,5,25,9,0.0251466,36085
11,5,25,8,0.0398658,36085
11,5,25,7,0.0821685,36085
11,5,25,6,0.125118,36085
11,5,25,5,0.151227,36085
11,5,25,4,0.136927,36085
11,5,25,3,0.0936264,36085
11,5,25,11,0.0225144,36085
11,5,25,1,0.0926719,36085
11,5,25,12,0.0340555,36085
11,5,15,15,0.0141404,36085
11,5,15,14,0.0247626,36085
11,5,15,13,0.0318987,36085
11,5,15,12,0.0296043,36085
11,5,15,11,0.0180345,36085
11,5,15,10,0.0182384,36085
11,5,15,9,0.0297764,36085
11,5,222,11,0.0262773,36085
11,5,25,2,0.0858528,36085
11,5,35,5,0.136486,36085
11,5,72,1,0.0867227,36085
11,5,35,14,0.027699,36085
11,5,35,13,0.0432941,36085
11,5,35,12,0.0302227,36085
11,5,35,11,0.0313255,36085
11,5,35,10,0.0264677,36085
11,5,35,9,0.0344513,36085
11,5,35,8,0.0381927,36085
11,5,25,10,0.018794,36085
11,5,35,6,0.106662,36085
11,5,15,6,0.144202,36085
11,5,35,4,0.120715,36085
11,5,35,3,0.089917,36085
11,5,35,2,0.0985501,36085
11,5,35,1,0.0976638,36085
11,5,25,16,0.0112446,36085
11,5,25,15,0.0181757,36085
11,5,25,14,0.0276088,36085
11,5,25,13,0.0350028,36085
11,5,35,7,0.0823258,36085
11,5,232,6,0.12107,36085
11,5,15,8,0.0343673,36085
11,5,232,15,0.0104015,36085
11,5,232,14,0.0271897,36085
11,5,232,13,0.0472484,36085
11,5,232,12,0.038208,36085
11,5,232,11,0.0307503,36085
11,5,232,10,0.0200418,36085
11,5,232,9,0.0242038,36085
11,5,242,1,0.0862423,36085
11,5,232,7,0.0558023,36085
11,5,242,2,0.0690906,36085
11,5,232,5,0.167442,36085
11,5,232,4,0.148456,36085
11,5,232,3,0.09822,36085
11,5,232,2,0.0756408,36085
11,5,232,1,0.0942654,36085
11,5,222,16,0.00636682,36085
11,5,222,15,0.00798676,36085
11,5,222,14,0.0212111,36085
11,5,232,8,0.0319769,36085
11,5,242,11,0.0274681,36085
11,5,15,5,0.178611,36085
11,5,15,4,0.142045,36085
11,5,15,3,0.0865652,36085
11,5,15,2,0.0730749,36085
11,5,15,1,0.0842495,36085
11,5,242,16,0.01268,36085
11,5,242,15,0.00947392,36085
11,5,242,14,0.0302666,36085
11,5,232,16,0.0090838,36085
11,5,242,12,0.0423986,36085
11,5,172,8,0.0236158,36085
11,5,242,10,0.0204631,36085
11,5,242,9,0.0246735,36085
11,5,242,8,0.0311091,36085
11,5,242,7,0.066179,36085
11,5,242,6,0.140385,36085
11,5,242,5,0.182017,36085
11,5,242,4,0.132543,36085
11,5,242,3,0.080345,36085
11,5,242,13,0.0446647,36085
11,5,102,4,0.184136,36085
11,5,92,11,0.017643,36085
11,5,102,13,0.029236,36085
11,5,102,12,0.0200369,36085
11,5,102,11,0.0145967,36085
11,5,102,10,0.0151625,36085
11,5,102,9,0.0154544,36085
11,5,102,8,0.0269229,36085
11,5,102,7,0.0520495,36085
11,5,102,15,0.0143932,36085
11,5,102,5,0.185434,36085
11,5,102,16,0.00965513,36085
11,5,102,3,0.113632,36085
11,5,102,2,0.0772784,36085
11,5,102,1,0.101204,36085
11,5,92,16,0.010197,36085
11,5,92,15,0.0171738,36085
11,5,92,14,0.0267755,36085
11,5,92,13,0.0338112,36085
11,5,122,4,0.201967,36085
